"","player_id","rank","player","whip","seasons"
"55",9475,55,"Hailee Bryan","1.107","2021-2023"
"56",30821,56,"Stefanie Guercio","1.109","2018-2021"
"57",35204,57,"Ally Hjort","1.111","2018-2021"
"58",58446,58,"Amanda Osterhus","1.115","2017-2021"
"59",56436,59,"Aj Nichols","1.116","2017-2019"
"60",55683,60,"Alanna Namit","1.119","2018-2021"
"61",70218,61,"Emily Seale","1.125","2021-2023"
"62",17072,62,"Madi Cunningham","1.126","2022-2024"
"63",20575,63,"Kailey Dorcsis","1.130","2022-2025"
"64",40880,64,"Ashlyn Kersch","1.134","2017-2019"
"65",49641,65,"Bella Matthias","1.137","2017-2019"
"66",21310,66,"Rebecca Duncan","1.137","2017-2019"
"67",6011,67,"Lauren Bible","1.141","2022-2025"
"68",71375,68,"Charli Shinstine","1.143","2020-2024"
"69",42623,69,"Kirsten Krause","1.145","2020-2023"
"70",11082,70,"Nikki Camarati","1.148","2019-2022"
"71",7806,71,"Kameron Bowling","1.153","2018-2021"
"72",66134,72,"Liz Rodarte","1.154","2017-2019"
"73",35985,73,"Sydney Hood","1.158","2019-2022"
"74",13157,74,"Emily Charlton","1.160","2021-2025"
"75",16150,75,"Cheyanne Cox","1.164","2018-2022"
"76",45329,76,"Ginger Lewis","1.166","2017-2020"
"77",55328,77,"Mackenzie Murphy","1.167","2017-2019"
"78",9945,78,"Caitlyn Burch","1.168","2021-2024"
"79",15472,79,"Kendra Cooper","1.184","2019-2023"
"80",24449,80,"Madelyn Fink","1.185","2020-2023"
"81",25071,81,"Krista Flugstad","1.185","2017-2018"
"82",31019,82,"Kelsi Gunarathne","1.186","2017-2019"
"83",58251,83,"Abby Orso","1.189","2022-2025"
"84",75057,84,"Brooke Stock","1.191","2017-2021"
"85",70003,85,"Kylee Schwind","1.195","2017-2021"
"86",52693,86,"Madison Milaszewski","1.196","2017-2019"
"87",8314,87,"Beth Braswell","1.198","2018-2021"
"88",81722,88,"Jordan Walter","1.199","2021-2024"
"89",39316,89,"Jen Jones","1.201","2017-2022"
"90",61470,90,"Riley Piromalli","1.202","2020-2023"
"91",81437,91,"Dana Walker","1.202","2023-2025"
"92",9208,92,"Madison Brown","1.203","2019-2023"
"93",84539,93,"Sydney Wilson","1.208","2022-2025"
"94",81425,94,"Brea Walker","1.210","2017-2020"
"95",44785,95,"Hailee Leger","1.211","2021-2024"
"96",4888,96,"Nicki Becker","1.213","2019-2023"
"97",53004,97,"Sarah Miller","1.215","2018-2021"
"98",23187,98,"Ainsley Evanetski","1.215","2022-2025"
"99",46294,99,"Lindsey Longuet","1.216","2017-2022"
"100",32392,100,"Haley Harmon","1.219","2017-2019"
