"","player_id","rank","player","opp_avg","seasons"
"49",7092,49,"Morgan Bolduk","0.197","2018-2022"
"50",21310,50,"Rebecca Duncan","0.199","2017-2019"
"51",9475,51,"Hailee Bryan","0.199","2021-2023"
"52",25371,52,"Paige Forry","0.199","2022-2025"
"53",83580,53,"Candace Whittemore","0.200","2017-2019"
"54",48930,54,"Jamie Martin","0.200","2022-2025"
"55",15054,55,"Haley Congdon","0.200","2017-2019"
"56",16819,56,"Haley Crumpton","0.202","2017-2019"
"57",7806,57,"Kameron Bowling","0.203","2018-2021"
"58",10677,58,"Avery Byrnes","0.203","2020-2024"
"59",51870,59,"Brianna Melchionda","0.203","2021-2025"
"60",19771,60,"Sophia Dicocco","0.203","2021-2024"
"61",68833,61,"Addison Sargent","0.203","2020-2023"
"62",16060,62,"Jaylin Couto","0.204","2021-2025"
"63",62161,63,"Megan Potter","0.205","2017-2022"
"64",61470,64,"Riley Piromalli","0.205","2020-2023"
"65",8314,65,"Beth Braswell","0.205","2018-2021"
"66",38861,66,"Gabby Johnson","0.205","2017-2019"
"67",4383,67,"Aubrey Bates","0.206","2017-2020"
"68",40024,68,"Jada Karnes","0.206","2020-2023"
"69",62453,69,"Juliana Presto","0.207","2021-2025"
"70",84539,70,"Sydney Wilson","0.207","2022-2025"
"71",57976,71,"Alyssa Olson","0.207","2017-2019"
"72",19864,72,"Taryn Digiacomo","0.207","2017-2021"
"73",78146,73,"Hannah Tomasko","0.207","2018-2022"
"74",7462,74,"Ellie Borst","0.208","2018-2021"
"75",35204,75,"Ally Hjort","0.208","2018-2021"
"76",16150,76,"Cheyanne Cox","0.208","2018-2022"
"77",39084,77,"Sky Johnson","0.208","2022-2025"
"78",11496,78,"Marissa Cappello","0.209","2017-2019"
"79",63936,79,"Morgan Raymer","0.209","2017-2018"
"80",42623,80,"Kirsten Krause","0.209","2020-2023"
"81",70218,81,"Emily Seale","0.210","2021-2023"
"82",15152,82,"Cindy Connoly","0.210","2017-2018"
"83",75057,83,"Brooke Stock","0.210","2017-2021"
"84",24817,84,"Beth Fleming","0.210","2018-2022"
"85",83775,85,"Jessica Wilcox","0.210","2017-2021"
"86",10816,86,"Kendyll Cahill","0.211","2023-2025"
"87",33602,87,"Paige Heffke","0.211","2022-2025"
"88",25071,88,"Krista Flugstad","0.212","2017-2018"
"89",15472,89,"Kendra Cooper","0.212","2019-2023"
"90",70003,90,"Kylee Schwind","0.213","2017-2021"
"91",31019,91,"Kelsi Gunarathne","0.213","2017-2019"
"92",2332,92,"Aly Armstrong","0.213","2019-2023"
"93",64254,93,"Lexi Reetz","0.213","2017-2019"
"94",24705,94,"Erin Fitzsimmons","0.214","2017-2019"
"95",43795,95,"Caroline Langmeyer","0.214","2023-2025"
"96",6011,96,"Lauren Bible","0.215","2022-2025"
"97",24449,97,"Madelyn Fink","0.215","2020-2023"
"98",53004,98,"Sarah Miller","0.215","2018-2021"
"99",40880,99,"Ashlyn Kersch","0.215","2017-2019"
"100",39316,100,"Jen Jones","0.215","2017-2022"
