"","player_id","rank","player","era","seasons"
"84",25310,84,"Taylor Forehand","2.080","2017-2019"
"85",27218,85,"Delaney Garden","2.082","2022-2025"
"86",25715,86,"Taylor Franco","2.114","2019-2023"
"87",40617,87,"Shelby Keltner","2.118","2020-2024"
"88",24579,88,"Courtney Fisher","2.125","2018-2021"
"89",12674,89,"Catalina Cavazos","2.136","2022-2023"
"90",3179,90,"Bridget Bailey","2.136","2019-2022"
"91",12232,91,"Christine Carver","2.137","2017-2020"
"92",31361,92,"Ali Haesele","2.146","2017-2018"
"93",12512,93,"Saidi Castillo","2.152","2019-2022"
"94",8431,94,"Holly Brehm","2.153","2022-2024"
"95",63252,95,"Sydney Rader","2.155","2021-2025"
"96",82160,96,"Hallie Waters","2.175","2018-2021"
"97",42459,97,"Nikkie Kovalsky","2.177","2017-2019"
"98",35957,98,"Lauren Honkomp","2.179","2017-2020"
"99",31438,99,"Madison Hagood","2.181","2017-2019"
"100",34909,100,"Morgan Hill","2.181","2017-2022"
