"","player_id","rank","player","k_bb","seasons"
"40",73596,40,"Amanda Weyh","3.7","2020-2024"
"41",10014,41,"Sydney Campbell","3.7","2020-2024"
"42",71624,42,"Marina Vitalich","3.7","2016-2021"
"43",25979,43,"Megan Good","3.7","2016-2019"
"44",53333,44,"Maddie Penta","3.7","2021-2024"
"45",56380,45,"Riley Randolph","3.7","2016-2019"
"46",53071,46,"Autumn Pease","3.7","2019-2023"
"47",50952,47,"Danielle O'Toole","3.6","2016-2017"
"48",67181,48,"Emma Summers","3.6","2021-2024"
"49",5130,49,"Lindsey Bert","3.6","2016-2018"
"50",32924,50,"Anaya Hunte","3.5","2021-2024"
"51",27824,51,"Mary Haff","3.5","2018-2022"
"52",60638,52,"Kathryn Sandercock","3.5","2019-2023"
"53",876,53,"Odicci Alexander","3.5","2017-2021"
"54",33710,54,"Molly Jacobsen","3.5","2019-2021"
"55",33168,55,"Sierra Hyland","3.5","2016-2017"
"56",68715,56,"Millie Thompson","3.5","2021-2024"
"57",18298,57,"Savannah Jo Dorsey","3.4","2016-2017"
"58",58869,58,"Ashley Rogers","3.4","2016-2023"
"59",25017,59,"Megan Giese","3.4","2021-2024"
"60",44073,60,"Kelly Maxwell","3.3","2020-2024"
"61",4226,61,"Meghan Beaubien","3.3","2018-2022"
"62",10407,62,"Abby Carlin","3.3","2018-2022"
"63",49650,62,"Kelly Nelson","3.3","2019-2022"
"64",58623,64,"Gia Rodoni","3.3","2016-2021"
"65",4251,65,"Kayla Beaver","3.3","2020-2024"
"66",3116,66,"Maggie Balint","3.2","2017-2022"
"67",37869,67,"Laurin Krings","3.2","2021-2024"
"68",48768,68,"Jessica Mullins","3.2","2021-2024"
"69",57674,69,"Karli Ricketts","3.2","2019-2022"
"70",39956,70,"Jennifer Leonhardt","3.2","2017-2021"
"71",64447,71,"Isabella Smith","3.2","2022-2024"
"72",62106,72,"Morgan Scott","3.2","2020-2024"
"73",8628,73,"Tatum Buckley","3.2","2016-2018"
"74",62525,74,"Jacquelyn Sertic","3.2","2016-2018"
"75",38313,75,"Olivia Lackie","3.2","2021-2024"
"76",62836,76,"Lauren Shaw","3.2","2018-2023"
"77",5418,77,"Christina Biggerstaff","3.1","2018-2019"
"78",2418,78,"Madie Aughinbaugh","3.1","2017-2021"
"79",53350,79,"Peyton Pepkowski","3.1","2022-2024"
"80",45620,80,"Taylor McQuillin","3.1","2016-2019"
"81",4341,81,"Maryssa Becker","3.1","2016-2017"
"82",35033,82,"Mandy Jordan","3.1","2016-2019"
"83",24318,83,"Megan Garst","3.1","2018-2021"
"84",74377,84,"Danielle Williams","3.1","2019-2023"
"85",75904,85,"Brooke Yanez","3.1","2018-2023"
"86",35185,86,"Annah Junge","3.1","2020-2024"
"87",38506,87,"Kandra Lamb","3.1","2019-2023"
"88",36417,88,"Lexi Kilfoyl","3.1","2020-2024"
"89",38776,89,"Sierra Lange","3.1","2018-2022"
"90",46735,90,"Ashley Miller","3.1","2021-2024"
"91",59165,91,"Rachel Rook","3.0","2018-2022"
"92",6126,92,"Allison Boaz","3.0","2020-2024"
"93",50383,93,"Gabriella Nori","3.0","2019-2023"
"94",17721,94,"Julia DiMartino","3.0","2016-2019"
"95",45315,95,"Holly McKinnon","3.0","2016-2017"
"96",41152,96,"Mariah Lopez","3.0","2017-2024"
"97",18229,97,"Allison Doocy","3.0","2017-2021"
"98",69532,98,"Hope Trautwein","3.0","2018-2022"
"99",22214,99,"Morgan Florey","3.0","2016-2019"
"100",71048,100,"Alana Vawter","3.0","2020-2024"
