"","player_id","rank","player","slg","seasons"
"64",78153,64,"Sharon Tomei","0.718","2022-2025"
"65",7304,65,"Kelsey Booker","0.718","2023-2025"
"66",45668,66,"Lacey Lindsey","0.716","2016-2017"
"67",85579,67,"Stella Wulker","0.715","2021-2024"
"68",70869,68,"Juno Shantz","0.715","2022-2024"
"69",14870,69,"Marie Collop","0.715","2016-2017"
"70",50911,70,"Erin Mcgrath","0.713","2019-2023"
"71",74529,71,"Jamie Stefani","0.712","2016-2019"
"72",48170,72,"Melanie Mandell","0.711","2017-2021"
"73",626,73,"Marialena Ahern","0.710","2016-2018"
"74",5401,74,"Chloe Bennett","0.710","2023-2025"
"75",33531,75,"Olivia Hebert","0.709","2022-2025"
"76",81442,76,"Elaine Walker","0.709","2016-2019"
"77",43271,77,"Laurren Ladwig","0.709","2016-2018"
"78",49681,78,"Brooke Matyasovsky","0.708","2019-2022"
"79",40216,79,"Rachel Kazmirski","0.708","2021-2025"
"80",48543,80,"Kendall Marinesi","0.707","2017-2020"
"81",74720,81,"Sarah Stepnowski","0.706","2021-2024"
"82",24394,82,"Eliza Filus","0.706","2022-2024"
"83",22103,83,"Kaleigh Edwards","0.705","2019-2021"
"84",67751,84,"Morgan Russo","0.705","2016-2025"
"85",85094,85,"Caraline Wood","0.705","2016-2020"
"86",74213,86,"Gabbie Stallbaum","0.704","2022-2025"
"87",70275,87,"Claire Seats","0.703","2022-2025"
"88",28306,88,"Samantha Gildersleeve","0.701","2021-2025"
"89",23843,89,"Cameryn Feathers","0.701","2022-2024"
"90",83723,90,"Lindsey Wiggins","0.700","2016-2017"
"91",8248,91,"Taylor Brandt","0.699","2020-2023"
"92",62155,92,"Kamryn Potter","0.699","2020-2024"
"93",35414,93,"Elena Hoffman","0.699","2019-2022"
"94",77421,94,"Maddy Thomas","0.698","2019-2022"
"95",44798,95,"Lexie Leggett","0.697","2020-2023"
"96",41763,96,"Allie Klonowski","0.696","2020-2023"
"97",72679,97,"Bri Smith","0.696","2018-2021"
"98",74770,97,"Jess Stettinger","0.696","2019-2022"
"99",32788,99,"Aarin Hartenstein","0.695","2016-2019"
"100",15223,100,"Olivia Conti","0.695","2021-2024"
